shipment_id,submission_timestamp,hs_code,shc_code,origin_country,port_of_loading,importer_cr_id,is_aeo_certified,historical_avg_clearance_hours,fatoorah_validation_passed,weight_value_discrepancy,pre_arrival_filing_hours,ambient_temperature_celsius,visibility_meters,clearance_duration_hours,inspection_track
065-10662553,2025-10-04T17:00:00+03:00,300477491435,CRT,DEU,FRA,4097192189,1,162.11,1,0.0541,3.68,40.1,5974.0,91.05,RED
065-14389986,2025-08-08T03:00:00+03:00,300478159587,CRT,IND,BOM,4790063226,0,150.62,1,0.0021,47.71,24.6,3309.0,1.6,GREEN
160-33712219,2025-05-02T12:00:00+03:00,300419196777,CRT,IND,BOM,2707767820,0,141.67,1,0.0215,9.06,41.0,9075.0,1.29,GREEN
176-43189756,2025-09-16T22:00:00+03:00,851764193837,GEN,TWN,TPE,1471209985,0,131.36,1,0.0967,-28.25,26.3,5452.0,87.72,RED
065-23183737,2025-11-28T17:00:00+03:00,851787701200,GEN,TWN,TPE,2415555157,1,90.0,0,0.0588,10.82,29.9,1624.0,106.13,RED
020-93947514,2025-10-23T11:00:00+03:00,060298231132,COL,NLD,AMS,1204704102,0,59.98,1,0.0296,56.27,23.9,8812.0,3.18,GREEN
020-66151776,2025-03-07T17:00:00+03:00,040699889098,COL,FRA,CDG,2610505977,1,132.11,1,0.0344,21.22,19.6,5849.0,1.44,GREEN
160-58558161,2025-08-27T01:00:00+03:00,851745650176,VAL,TWN,TPE,2774738541,1,37.87,1,0.0546,48.4,35.0,7010.0,1.18,GREEN
020-83162421,2025-05-22T13:00:00+03:00,851796637649,VAL,TWN,TPE,2233236539,1,75.35,1,0.0267,53.11,20.5,7318.0,1.11,GREEN
020-11820584,2025-04-11T11:00:00+03:00,851752436584,GEN,CHN,PVG,1117612475,0,141.95,1,0.0129,-31.45,34.0,394.0,38.27,YELLOW
020-72081723,2025-11-23T05:00:00+03:00,060293370583,PER,NLD,AMS,4059819559,1,61.33,1,0.0529,37.13,22.0,2538.0,101.52,RED
065-59266056,2025-09-21T15:00:00+03:00,300482160068,CRT,IND,BOM,1941488782,0,121.36,1,0.0347,-30.44,32.0,843.0,42.58,RED
176-92743042,2025-07-18T06:00:00+03:00,851727778019,VAL,CHN,PVG,4265162420,0,76.05,1,0.0755,10.85,16.6,2213.0,95.81,RED
160-95332577,2025-09-06T15:00:00+03:00,300442787299,COL,IND,BOM,4470403000,0,24.87,1,0.037,15.97,48.9,7485.0,1.4,GREEN
176-32169440,2025-08-06T06:00:00+03:00,851731172421,VAL,CHN,PVG,4965503499,0,78.94,1,0.0869,10.76,21.9,1468.0,110.07,RED
176-13177562,2025-04-23T03:00:00+03:00,040699639081,COL,FRA,CDG,2548643570,0,1.54,0,0.0967,-11.59,39.8,5921.0,108.32,RED
176-38521800,2025-04-12T08:00:00+03:00,300428024248,COL,IND,BOM,1684220428,0,129.03,1,0.0317,63.77,32.4,2476.0,0.98,GREEN
065-31231005,2025-11-24T07:00:00+03:00,851724366125,GEN,TWN,TPE,1524445265,0,37.44,1,0.0154,3.55,48.2,3450.0,2.87,GREEN
020-50169268,2025-03-15T01:00:00+03:00,851747816686,GEN,CHN,PVG,4839323117,0,63.31,1,0.0143,39.61,49.7,9113.0,2.37,GREEN
160-15183227,2025-04-06T14:00:00+03:00,040695125977,COL,FRA,CDG,2837184995,0,59.66,1,0.0061,3.19,21.5,5196.0,2.6,GREEN
176-73595215,2025-04-14T20:00:00+03:00,060216818112,PER,FRA,CDG,4687626308,1,84.11,1,0.0975,8.43,42.1,5777.0,80.99,RED
020-57399602,2025-09-20T15:00:00+03:00,851747135391,GEN,CHN,PVG,1729020648,1,125.6,1,0.0436,-11.57,34.1,1598.0,20.61,YELLOW
065-47011241,2025-08-14T09:00:00+03:00,060227558317,COL,NLD,AMS,1918804704,0,110.59,1,0.0679,-14.94,47.0,3592.0,145.12,RED
176-92844346,2025-11-21T00:00:00+03:00,851769302158,VAL,TWN,TPE,1369372018,0,108.78,1,0.033,-26.14,12.0,2333.0,26.8,RED
020-54965997,2025-09-19T11:00:00+03:00,851725015458,GEN,TWN,TPE,4678584632,1,161.17,1,0.0247,-41.4,40.9,6423.0,23.36,YELLOW
065-83765326,2025-11-19T19:00:00+03:00,040659555330,PER,NLD,AMS,4480640087,0,13.77,1,0.0526,40.59,26.8,3968.0,93.0,RED
020-43414696,2025-03-16T19:00:00+03:00,851727105448,GEN,CHN,PVG,4843616035,0,27.88,1,0.0373,-17.21,28.8,1126.0,43.72,RED
160-92846332,2025-03-21T12:00:00+03:00,851758942697,GEN,CHN,PVG,2484227976,0,10.76,1,0.003,71.1,32.3,2551.0,1.8,GREEN
020-98395008,2025-10-06T20:00:00+03:00,300438195995,CRT,DEU,FRA,4694808404,0,49.05,1,0.0236,60.09,39.2,1387.0,14.49,GREEN
020-90581824,2025-05-25T22:00:00+03:00,060285146293,COL,NLD,AMS,4079160119,1,27.75,0,0.0567,36.99,29.6,7302.0,97.7,RED
160-53188850,2025-08-09T20:00:00+03:00,040631810617,PER,NLD,AMS,4890516692,0,58.07,1,0.0429,48.14,18.0,1910.0,1.24,GREEN
160-64100037,2025-03-03T16:00:00+03:00,851713326769,GEN,CHN,PVG,1398741146,1,96.28,1,0.0271,53.03,17.2,5607.0,0.64,GREEN
020-55017546,2025-06-16T00:00:00+03:00,300465259205,CRT,DEU,FRA,2353468078,1,24.6,1,0.0139,1.87,27.4,3863.0,1.12,GREEN
160-76278893,2025-10-14T15:00:00+03:00,851731367172,GEN,CHN,PVG,4759325315,0,22.01,1,0.0471,11.48,20.5,3976.0,1.37,GREEN
020-22152535,2025-10-05T16:00:00+03:00,300415197528,COL,DEU,FRA,4170582297,0,103.79,1,0.0931,-33.45,25.8,6951.0,95.92,RED
176-45137338,2025-05-24T11:00:00+03:00,040671780854,COL,NLD,AMS,2569141344,1,42.17,1,0.0503,-20.3,24.8,4593.0,88.72,RED
020-21686111,2025-06-21T07:00:00+03:00,851740547349,GEN,CHN,PVG,1956435916,1,46.57,1,0.011,-9.56,14.7,8049.0,24.27,YELLOW
065-86819262,2025-05-02T07:00:00+03:00,851798588154,GEN,TWN,TPE,2353585632,1,49.91,1,0.0447,-42.19,43.2,1083.0,37.45,YELLOW
160-37602200,2025-10-06T02:00:00+03:00,851754058573,VAL,CHN,PVG,1555693069,1,41.05,1,0.0268,27.27,44.5,2029.0,2.59,GREEN
176-71460361,2025-10-21T02:00:00+03:00,060257130035,COL,NLD,AMS,1414093257,0,100.94,1,0.0877,32.34,16.0,3475.0,94.05,RED
160-12005632,2025-03-17T07:00:00+03:00,040625480907,COL,FRA,CDG,2509950158,0,24.2,1,0.0028,-31.33,34.1,4152.0,26.6,YELLOW
160-73981154,2025-10-28T10:00:00+03:00,300487925434,COL,IND,BOM,4004399914,0,47.55,1,0.0305,-38.28,15.8,9185.0,23.89,YELLOW
160-70569357,2025-09-05T02:00:00+03:00,851724549543,VAL,TWN,TPE,1516273342,0,165.0,1,0.0738,51.99,42.0,7473.0,95.26,RED
065-69878804,2025-11-24T00:00:00+03:00,851752101056,VAL,CHN,PVG,2353681440,0,66.42,1,0.0433,54.12,18.2,8971.0,1.93,GREEN
065-96837743,2025-09-03T10:00:00+03:00,851761700055,GEN,TWN,TPE,1523063535,1,87.53,1,0.0702,10.66,22.6,9771.0,93.94,RED
020-43308406,2025-11-01T12:00:00+03:00,851715957459,VAL,CHN,PVG,4869692853,0,48.54,1,0.0344,68.1,37.3,8925.0,2.83,GREEN
065-52399475,2025-07-27T09:00:00+03:00,851779782527,GEN,TWN,TPE,1139560719,0,124.87,1,0.0817,3.06,13.1,8531.0,96.91,RED
160-26266277,2025-06-03T22:00:00+03:00,060219391725,COL,FRA,CDG,4346943453,0,90.02,0,0.083,-40.8,20.6,960.0,141.77,RED
176-38902144,2025-11-13T16:00:00+03:00,851799038359,GEN,CHN,PVG,4524509540,0,69.09,1,0.0843,6.9,15.1,9516.0,93.7,RED
176-70570359,2025-07-08T03:00:00+03:00,851778064830,VAL,CHN,PVG,4446885673,1,164.41,1,0.0912,41.1,29.0,3056.0,95.01,RED
176-29134951,2025-11-17T14:00:00+03:00,300453779528,COL,DEU,FRA,1333573038,1,6.13,1,0.0908,50.45,22.4,7963.0,1.19,GREEN
160-47161515,2025-03-09T08:00:00+03:00,851784411983,GEN,CHN,PVG,4599458713,1,34.78,0,0.0294,48.28,31.4,1936.0,61.49,YELLOW
065-44407391,2025-11-04T07:00:00+03:00,851766431351,VAL,TWN,TPE,2977587692,1,157.29,1,0.0244,-43.16,34.1,6072.0,25.74,YELLOW
176-48692544,2025-09-20T03:00:00+03:00,851792613013,VAL,TWN,TPE,1866287198,0,167.19,0,0.0953,70.0,28.1,8425.0,107.7,RED
160-50413164,2025-07-08T08:00:00+03:00,851783542887,GEN,CHN,PVG,4094438980,0,90.24,1,0.0367,-41.86,40.3,4848.0,39.12,RED
160-88070248,2025-09-08T14:00:00+03:00,300448508907,CRT,DEU,FRA,2374967086,1,152.5,1,0.0996,-37.51,26.8,5569.0,90.34,RED
176-76195512,2025-06-11T06:00:00+03:00,060272409658,COL,FRA,CDG,2889287183,0,117.5,0,0.0233,-34.05,30.3,2607.0,41.73,RED
176-22632575,2025-07-30T21:00:00+03:00,851738682516,VAL,CHN,PVG,1209438887,1,160.23,0,0.0892,64.7,14.0,4364.0,108.45,RED
020-73794423,2025-10-30T15:00:00+03:00,300498429450,CRT,IND,BOM,1156671372,0,68.9,1,0.0821,10.36,29.0,6931.0,96.81,RED
020-29556908,2025-04-03T12:00:00+03:00,300479182797,COL,DEU,FRA,1654202039,0,103.17,1,0.027,46.23,18.0,8962.0,1.19,GREEN
160-36208315,2025-11-16T02:00:00+03:00,040651663795,PER,NLD,AMS,1230624498,1,141.69,1,0.0264,-31.22,48.2,8330.0,36.46,YELLOW
020-79981761,2025-06-22T19:00:00+03:00,851729777514,GEN,TWN,TPE,1811483747,0,30.07,1,0.0947,-4.92,25.9,4643.0,87.84,RED
020-22387038,2025-11-05T15:00:00+03:00,300442862209,COL,IND,BOM,4855390417,0,27.48,1,0.0624,23.09,13.0,8400.0,99.14,RED
176-36285614,2025-06-24T13:00:00+03:00,851771124923,VAL,TWN,TPE,1259638559,1,70.92,1,0.0754,47.61,34.7,2387.0,101.26,RED
020-70722413,2025-05-05T10:00:00+03:00,851761536717,VAL,TWN,TPE,1579553976,0,23.3,1,0.003,66.51,25.1,2270.0,2.13,GREEN
160-18610162,2025-09-27T16:00:00+03:00,300442747037,CRT,DEU,FRA,4797768195,0,43.16,1,0.0995,67.24,45.4,4072.0,99.49,RED
176-34799257,2025-10-19T13:00:00+03:00,300424305904,COL,IND,BOM,4737484394,0,112.8,1,0.0223,22.55,43.0,6251.0,1.58,GREEN
020-65753096,2025-06-21T02:00:00+03:00,851733607110,VAL,TWN,TPE,4165248763,0,29.46,1,0.0181,63.25,46.9,6700.0,0.5,GREEN
020-44010930,2025-08-08T00:00:00+03:00,300484813739,CRT,IND,BOM,4357547191,0,114.01,1,0.0986,-46.91,34.8,6068.0,100.62,RED
020-90048237,2025-04-12T20:00:00+03:00,300471265269,CRT,IND,BOM,1392344953,0,70.53,1,0.0052,61.87,44.1,6422.0,2.04,GREEN
065-42701831,2025-03-21T22:00:00+03:00,060269401199,COL,FRA,CDG,2212676819,1,166.44,1,0.0696,-18.13,44.4,155.0,152.69,RED
020-40370045,2025-09-04T05:00:00+03:00,300431361812,COL,DEU,FRA,2603515619,0,142.59,1,0.0842,-20.46,17.8,4190.0,93.21,RED
020-52018598,2025-04-06T06:00:00+03:00,060243183955,COL,FRA,CDG,2032427558,0,133.91,1,0.0678,67.28,12.1,6096.0,92.34,RED
160-97639875,2025-09-04T00:00:00+03:00,300494120751,CRT,DEU,FRA,4636422168,1,50.92,1,0.0245,63.13,16.1,7593.0,1.74,GREEN
020-75779491,2025-03-09T14:00:00+03:00,851769038700,GEN,CHN,PVG,1098522851,0,133.2,1,0.0144,32.6,25.5,5212.0,1.98,GREEN
065-95432857,2025-09-30T22:00:00+03:00,040646468984,COL,FRA,CDG,1391274368,1,68.05,1,0.0742,33.74,35.1,5026.0,98.49,RED
176-48980198,2025-11-05T01:00:00+03:00,300482498004,CRT,DEU,FRA,2336709285,0,96.81,1,0.0381,-44.91,39.3,8300.0,28.05,YELLOW
020-20070602,2025-05-01T20:00:00+03:00,300430244148,CRT,IND,BOM,2508125727,1,78.48,1,0.0906,66.08,29.2,3033.0,0.97,GREEN
020-13762288,2025-04-05T23:00:00+03:00,300430509175,CRT,DEU,FRA,4562207827,0,129.88,1,0.0184,8.53,32.7,2638.0,0.59,GREEN
160-15506359,2025-06-25T06:00:00+03:00,851765682626,VAL,TWN,TPE,1856358175,1,92.38,1,0.0084,-45.01,33.0,2415.0,23.75,RED
020-59637944,2025-03-24T11:00:00+03:00,300482828034,COL,DEU,FRA,4832550576,1,105.9,1,0.0148,-14.92,23.7,184.0,36.57,RED
020-25854463,2025-09-30T04:00:00+03:00,851718357162,GEN,CHN,PVG,4059217881,0,94.5,1,0.0333,1.13,39.0,6374.0,2.45,GREEN
020-40733412,2025-08-22T15:00:00+03:00,851762274692,GEN,CHN,PVG,1763616445,0,150.69,1,0.0675,-41.47,17.3,3775.0,102.17,RED
020-35412345,2025-11-06T19:00:00+03:00,851774019136,GEN,CHN,PVG,4441858580,0,159.11,1,0.0866,-18.71,17.9,5144.0,100.42,RED
176-39322886,2025-05-13T05:00:00+03:00,300450079111,COL,DEU,FRA,2221154020,0,73.07,1,0.037,-1.58,19.1,2525.0,30.54,RED
160-83910355,2025-11-21T14:00:00+03:00,300482238741,CRT,DEU,FRA,1350340692,0,85.98,1,0.0644,-6.65,14.1,2152.0,104.76,RED
176-94672229,2025-05-09T22:00:00+03:00,851739450273,VAL,CHN,PVG,2195218356,1,30.32,1,0.0045,8.71,32.5,7774.0,1.47,GREEN
065-93273633,2025-07-14T02:00:00+03:00,851775181765,GEN,CHN,PVG,4096504337,0,53.35,1,0.0628,33.3,18.5,5959.0,97.62,RED
020-21451235,2025-09-10T04:00:00+03:00,300455114543,COL,DEU,FRA,4291484155,0,127.78,1,0.0424,47.37,24.5,6274.0,2.84,GREEN
065-57181752,2025-04-14T03:00:00+03:00,851772732043,GEN,TWN,TPE,1329622016,0,108.73,1,0.0585,17.93,34.0,6096.0,91.18,RED
176-82851004,2025-10-06T23:00:00+03:00,851762884503,GEN,TWN,TPE,2875124199,0,102.67,1,0.0243,-26.44,48.8,2247.0,26.36,YELLOW
065-11537240,2025-05-11T18:00:00+03:00,851796268397,VAL,TWN,TPE,2997418502,0,78.63,1,0.0451,24.0,43.8,599.0,14.03,GREEN
020-61264055,2025-07-17T02:00:00+03:00,851771968116,GEN,TWN,TPE,1268906175,1,68.91,0,0.0302,38.73,40.1,8581.0,51.6,RED
065-52560028,2025-07-10T13:00:00+03:00,851744917589,VAL,TWN,TPE,1220172728,1,40.4,1,0.0726,10.82,37.8,301.0,104.97,RED
